dateStart,event,latitude,longitude,description
2019-12-09 16:45:00 UTC,ASSAULT,41.875942225,-87.743648924,AGGRAVATED: OTHER DANG WEAPON
2019-12-09 20:00:00 UTC,ASSAULT,41.722490414,-87.573613605,AGGRAVATED: OTHER DANG WEAPON
2019-12-09 21:20:00 UTC,ASSAULT,41.676249496,-87.619126568,AGGRAVATED: OTHER DANG WEAPON
2019-12-09 22:50:00 UTC,ASSAULT,41.722421445,-87.604486948,AGGRAVATED: HANDGUN
2019-12-10 00:28:00 UTC,ASSAULT,41.74845393,-87.631816116,AGGRAVATED: HANDGUN
2019-12-10 00:51:00 UTC,ASSAULT,41.802291065,-87.60356051,AGGRAVATED: HANDGUN
2019-12-10 01:44:00 UTC,ASSAULT,41.959540647,-87.713090558,AGGRAVATED: HANDGUN
2019-12-10 02:12:00 UTC,ASSAULT,41.793035887,-87.692563697,AGGRAVATED:KNIFE/CUTTING INSTR
2019-12-10 06:44:00 UTC,ASSAULT,41.892628411,-87.63115524,AGGRAVATED: HANDGUN
2019-12-10 07:56:00 UTC,ASSAULT,41.894880861,-87.761674181,AGGRAVATED: HANDGUN
2019-12-10 13:54:00 UTC,ASSAULT,41.943208753,-87.679270588,AGGRAVATED: HANDGUN
2019-12-10 14:30:00 UTC,ASSAULT,41.758493846,-87.570022427,AGGRAVATED: HANDGUN
2019-12-10 18:06:00 UTC,ASSAULT,41.869527301,-87.639268759,AGGRAVATED:KNIFE/CUTTING INSTR
2019-12-10 19:17:00 UTC,ASSAULT,41.898664525,-87.746852292,AGGRAVATED: HANDGUN
2019-12-10 20:05:00 UTC,ASSAULT,41.727106713,-87.587915914,AGGRAVATED: HANDGUN
2019-12-10 20:39:00 UTC,ASSAULT,41.710331245,-87.635640463,AGGRAVATED: HANDGUN
2019-12-10 21:57:00 UTC,ASSAULT,41.781643811,-87.725286717,AGGRAVATED: HANDGUN
2019-12-11 00:09:00 UTC,ASSAULT,41.769014078,-87.572709347,AGGRAVATED PO: HANDGUN
2019-12-11 00:30:00 UTC,ASSAULT,41.965860757,-87.701053221,AGGRAVATED:KNIFE/CUTTING INSTR
2019-12-11 09:52:00 UTC,ASSAULT,41.844023772,-87.626923253,AGGRAVATED:KNIFE/CUTTING INSTR
2019-12-11 14:28:00 UTC,ASSAULT,41.755289122,-87.556195869,AGGRAVATED:KNIFE/CUTTING INSTR
2019-12-11 15:50:00 UTC,ASSAULT,41.684818598,-87.622875816,AGGRAVATED: HANDGUN
2019-12-11 16:00:00 UTC,ASSAULT,41.777415172,-87.685188784,AGGRAVATED: HANDGUN
2019-12-11 17:30:00 UTC,ASSAULT,41.84908512,-87.710047944,AGGRAVATED:KNIFE/CUTTING INSTR
2019-12-11 18:10:00 UTC,ASSAULT,41.943578827,-87.733472858,AGGRAVATED:KNIFE/CUTTING INSTR
2019-12-11 18:32:00 UTC,ASSAULT,41.801864216,-87.593461078,AGGRAVATED: OTHER FIREARM
2019-12-11 20:23:00 UTC,ASSAULT,41.820292764,-87.613008408,AGGRAVATED:KNIFE/CUTTING INSTR
2019-12-11 21:03:00 UTC,ASSAULT,41.878521203,-87.751057355,AGGRAVATED: OTHER DANG WEAPON
2019-12-11 21:45:00 UTC,ASSAULT,41.877616294,-87.751194088,AGGRAVATED: HANDGUN
2019-12-12 00:25:00 UTC,ASSAULT,41.766562596,-87.722456329,AGGRAVATED:KNIFE/CUTTING INSTR
2019-12-12 00:35:00 UTC,ASSAULT,41.769756045,-87.646951053,AGGRAVATED: HANDGUN
2019-12-12 01:40:00 UTC,ASSAULT,41.734899916,-87.555525763,AGGRAVATED:KNIFE/CUTTING INSTR
2019-12-12 08:30:00 UTC,ASSAULT,41.751613643,-87.575373855,AGGRAVATED:KNIFE/CUTTING INSTR
2019-12-12 10:59:00 UTC,ASSAULT,41.748416811,-87.616465629,AGG PRO.EMP: OTHER DANG WEAPON
2019-12-12 14:30:00 UTC,ASSAULT,41.966053999,-87.657890403,AGGRAVATED:KNIFE/CUTTING INSTR
2019-12-12 15:00:00 UTC,ASSAULT,41.69522655,-87.642467755,AGGRAVATED:KNIFE/CUTTING INSTR
2019-12-12 15:19:00 UTC,ASSAULT,41.879955866,-87.680040875,AGG PRO.EMP:KNIFE/CUTTING INST
2019-12-12 20:30:00 UTC,ASSAULT,41.905697232,-87.693267817,AGGRAVATED: HANDGUN
2019-12-12 20:52:00 UTC,ASSAULT,41.76948433,-87.656660917,AGGRAVATED:KNIFE/CUTTING INSTR
2019-12-13 09:00:00 UTC,ASSAULT,41.917970185,-87.761534297,AGGRAVATED: HANDGUN
2019-12-13 10:00:00 UTC,ASSAULT,41.862409706,-87.732939912,AGGRAVATED:KNIFE/CUTTING INSTR
2019-12-13 11:03:00 UTC,ASSAULT,41.802062624,-87.618732403,AGGRAVATED:KNIFE/CUTTING INSTR
2019-12-13 12:00:00 UTC,ASSAULT,41.69522655,-87.642467755,AGGRAVATED:KNIFE/CUTTING INSTR
2019-12-13 12:26:00 UTC,ASSAULT,41.772256878,-87.613010882,AGGRAVATED: HANDGUN
2019-12-13 12:50:00 UTC,ASSAULT,41.844263151,-87.723798692,AGGRAVATED: OTHER FIREARM
2019-12-13 14:00:00 UTC,ASSAULT,41.819179575,-87.627757664,AGGRAVATED: HANDGUN
2019-12-13 14:25:00 UTC,ASSAULT,41.882457198,-87.627847776,AGGRAVATED:KNIFE/CUTTING INSTR
2019-12-13 15:00:00 UTC,ASSAULT,41.778665283,-87.662965763,AGGRAVATED: HANDGUN
2019-12-13 17:30:00 UTC,ASSAULT,41.876868041,-87.743309941,AGGRAVATED PO: OTHER DANG WEAP
2019-12-13 17:45:00 UTC,ASSAULT,41.957720382,-87.730968879,AGGRAVATED: OTHER DANG WEAPON
2019-12-13 18:00:00 UTC,ASSAULT,41.996465865,-87.706886562,AGGRAVATED:KNIFE/CUTTING INSTR
2019-12-13 18:55:00 UTC,ASSAULT,41.869828105,-87.723691731,AGGRAVATED: OTHER DANG WEAPON
2019-12-13 19:40:00 UTC,ASSAULT,41.766102387,-87.573539169,AGGRAVATED: HANDGUN
2019-12-13 20:30:00 UTC,ASSAULT,41.974215315,-87.735597899,AGGRAVATED: HANDGUN
2019-12-13 22:12:00 UTC,ASSAULT,41.925326448,-87.739703429,AGGRAVATED: HANDGUN
2019-12-13 23:06:00 UTC,ASSAULT,41.868034106,-87.639215155,AGGRAVATED:KNIFE/CUTTING INSTR
2019-12-14 03:00:00 UTC,ASSAULT,41.896752124,-87.700398375,AGGRAVATED: HANDGUN
2019-12-14 04:00:00 UTC,ASSAULT,41.906503211,-87.639272492,AGGRAVATED: HANDGUN
2019-12-14 04:26:00 UTC,ASSAULT,41.80032743,-87.704979016,AGGRAVATED: HANDGUN
2019-12-14 08:17:00 UTC,ASSAULT,41.903892302,-87.631858359,AGGRAVATED:KNIFE/CUTTING INSTR
2019-12-14 11:31:00 UTC,ASSAULT,41.926298238,-87.769720766,AGGRAVATED: OTHER DANG WEAPON
2019-12-14 12:00:00 UTC,ASSAULT,41.729470173,-87.596519777,AGGRAVATED: HANDGUN
2019-12-14 14:00:00 UTC,ASSAULT,41.963343664,-87.718105695,AGGRAVATED: HANDGUN
2019-12-14 15:50:00 UTC,ASSAULT,41.877545896,-87.686737346,AGGRAVATED PO: HANDGUN
2019-12-14 15:54:00 UTC,ASSAULT,41.887905097,-87.746462265,AGGRAVATED: HANDGUN
2019-12-14 18:41:00 UTC,ASSAULT,41.774279999,-87.711791881,AGGRAVATED: HANDGUN
2019-12-14 19:12:00 UTC,ASSAULT,41.88171118,-87.753455712,AGGRAVATED:KNIFE/CUTTING INSTR
2019-12-14 20:00:00 UTC,ASSAULT,41.888744285,-87.718557585,AGGRAVATED: HANDGUN
2019-12-14 20:50:00 UTC,ASSAULT,41.886370445,-87.70989132,AGGRAVATED: OTHER DANG WEAPON
2019-12-14 21:57:00 UTC,ASSAULT,41.651431329,-87.527258234,AGGRAVATED: OTHER FIREARM
2019-12-15 04:30:00 UTC,ASSAULT,41.711604906,-87.639314808,AGGRAVATED: HANDGUN
2019-12-15 13:00:00 UTC,ASSAULT,41.654711652,-87.605093469,AGGRAVATED:KNIFE/CUTTING INSTR
2019-12-15 13:19:00 UTC,ASSAULT,41.990615196,-87.683188577,AGGRAVATED:KNIFE/CUTTING INSTR
2019-12-15 22:45:00 UTC,ASSAULT,41.877616294,-87.751194088,AGGRAVATED: HANDGUN
2019-12-15 22:55:00 UTC,ASSAULT,41.85089936,-87.71010007,AGGRAVATED:KNIFE/CUTTING INSTR
2019-12-16 00:10:00 UTC,ASSAULT,41.77780449,-87.607130477,AGGRAVATED:KNIFE/CUTTING INSTR
2019-12-16 00:15:00 UTC,ASSAULT,41.879783007,-87.773012281,AGGRAVATED:KNIFE/CUTTING INSTR
2019-12-16 02:03:00 UTC,ASSAULT,41.892989435,-87.634104238,AGGRAVATED: HANDGUN
2019-12-16 04:30:00 UTC,ASSAULT,41.753123114,-87.563830192,AGGRAVATED:KNIFE/CUTTING INSTR
2019-12-16 05:21:00 UTC,ASSAULT,41.808324588,-87.66374603,AGGRAVATED: OTHER FIREARM
2019-12-16 07:15:00 UTC,ASSAULT,41.932755165,-87.647150367,AGGRAVATED: OTHER DANG WEAPON
2019-12-16 08:30:00 UTC,ASSAULT,41.897524786,-87.704673571,AGGRAVATED: HANDGUN
2019-12-16 11:10:00 UTC,ASSAULT,41.927679738,-87.726860154,AGGRAVATED: OTHER DANG WEAPON
2019-12-16 11:36:00 UTC,ASSAULT,41.751717281,-87.567002336,AGGRAVATED PO:KNIFE/CUT INSTR
2019-12-16 13:00:00 UTC,ASSAULT,41.774485665,-87.72509404,AGGRAVATED: HANDGUN
2019-12-16 14:00:00 UTC,ASSAULT,41.749998751,-87.716951479,AGGRAVATED: HANDGUN
2019-12-16 16:15:00 UTC,ASSAULT,41.765784983,-87.683271465,AGGRAVATED:KNIFE/CUTTING INSTR
2019-12-16 16:40:00 UTC,ASSAULT,41.797364657,-87.587259993,AGGRAVATED: OTHER DANG WEAPON
2019-12-16 18:00:00 UTC,ASSAULT,41.760684812,-87.673423036,AGGRAVATED: OTHER DANG WEAPON
2019-12-16 18:56:00 UTC,ASSAULT,41.74239748,-87.584459605,AGGRAVATED: HANDGUN
2019-12-16 21:25:00 UTC,ASSAULT,41.769028278,-87.72373428,AGGRAVATED:KNIFE/CUTTING INSTR
2019-12-17 05:31:00 UTC,ASSAULT,41.714916256,-87.55234949,AGGRAVATED:KNIFE/CUTTING INSTR
2019-12-17 06:58:00 UTC,ASSAULT,41.821456725,-87.610885841,AGGRAVATED:KNIFE/CUTTING INSTR
